Player,College,Draft_yr,fnl_coll_rpi,Success,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,clg_gms_plyed,pts_ppg,trb,ast,fg2_pct,fg3_pct,ft_pct,Guards,Forwards,Centers,Drafted,nba_gms_plyed
Kelly Olynyk,Gonzaga,2013,7,1,22,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,101,8.9,4.6,1.1,59.4,33.3,70.9,0,0,1,1,354
Shabazz Muhammad,UCLA,2013,32,1,23,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,32,17.9,5.2,0.8,44.3,37.7,71.1,1,0,0,1,278
Shane Larkin,Miami(fl),2013,4,1,24,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,68,11.2,3.2,3.6,43.8,37.5,80.8,1,0,0,1,256
Tony Snell,New Mexico,2013,3,1,21,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,104,9.2,2.4,2,42.1,38,82.1,1,0,0,1,368
Mason Plumlee,Duke,2013,1,1,20,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,141,9.8,7.7,1.5,57.4,20,58.3,0,0,1,1,389
Solomon Hill,Arizona,2013,16,1,20,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,139,10.3,5.6,2.2,48.1,37.5,74.5,0,1,0,1,261
Reggie Bullock,North Carolina,2013,19,1,22,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,100,9.9,5,1.7,43.9,38.7,72,0,1,0,1,209
Andre Roberson,Colorado,2013,43,1,22,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,105,9.6,10,1.1,51.6,35,58.2,1,0,0,1,295
Archie Goodwin,Kentucky,2013,57,0,19,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,33,14.1,4.6,2.7,44,26.6,63.7,1,0,0,1,165
Allen Crabbe,California,2013,52,1,21,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,98,15.7,5.7,2.2,44.6,38.2,81.9,1,0,0,1,301
Carrick Felix,Arizona State,2013,94,0,23,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,94,10.2,4.8,1.3,45.6,32.6,70.4,1,0,0,1,7
Isaiah Canaan,Murray State,2013,117,1,22,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,132,15.5,2.8,2.9,45,41.9,80.3,1,0,0,1,205
Glen Rice,Georgia Tech,2013,153,0,23,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,87,9.9,4.8,2.1,43.5,34.6,61.1,0,1,0,1,16
Ray McCallum,Detroit,2013,71,0,22,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,102,15.9,4.8,4.4,46.5,29,72.3,1,0,0,1,154
Jeff Withey,Kansas,2013,5,1,23,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,117,8,5.4,0.6,56.8,100,72.6,0,0,1,1,206
Grant Jerrett,Arizona,2013,16,0,21,40,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,8.5,9.25,34,5.2,3.6,0.5,40.9,40.5,81.8,0,1,0,1,8
Mike Muscala,Bucknell,2013,53,1,24,44,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,8.5,9,133,15.3,8.2,1.6,50.1,31.3,81.9,0,1,0,1,243
Erik Murphy,Florida,2013,8,0,23,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,136,7.7,3.7,0.7,51.4,43.5,75.7,0,0,1,1,24
James Ennis,Long Beach State,2013,119,1,24,50,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,8.5,8.75,67,13.2,5.4,2.4,49.3,35.4,78.8,0,1,0,1,220
Lorenzo Brown,North Carolina State,2013,37,0,23,52,76,77.25,79,100,34,134,28,128,189,4,8.25,8.5,101,11.6,4.2,5.8,42.9,30.5,74.1,1,0,0,1,77
Peyton Siva,Louisville,2013,2,0,22,56,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,8,9.75,144,8.4,2.4,4.7,41.7,29.1,73.7,1,0,0,1,24
DeWayne Dedmon,USC,2013,122,1,24,61,82,83.5,88,109,32.5,141.5,28,137,239,8.4,9,11,51,7.1,6.4,0.5,52,0,61.4,0,0,1,0,286
Brandon Davies,BYU,2013,58,0,22,61,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,9,11,135,12.4,6.2,1.6,52.2,33.3,66,0,1,0,0,78
Phil Pressey,Missouri,2013,42,0,22,61,69.5,71.5,74.25,92,38.5,130.5,33,125,177,4.7,7.75,9.75,99,9.7,3,5.9,39.5,34.7,75.7,1,0,0,0,148
James Southerland,Syracuse,2013,10,0,23,61,79,80,85,106,32,138,29,135,221,8.1,8,9.5,112,7.9,3.3,0.6,44.9,37,74,0,1,0,0,4
Adonis Thomas,Memphis,2013,14,0,20,61,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,9.25,9.5,55,10.7,4,1.5,42.6,32.5,74.5,0,1,0,0,6
Robert Covington,Tennessee State,2013,108,1,22,61,78.25,79.5,85.75,106,36,142,29.5,135.5,209,4.7,9,8.5,118,14.8,7.4,1.2,47.6,42.2,80.2,0,1,0,0,291
Vander Blue,Marquette,2013,13,0,20,61,75.5,77.25,78,100.5,37.5,138,28,128.5,197,4.6,8.5,9.5,106,9.3,3.5,2,42.9,27.7,70.4,1,0,0,0,10
Aaron Gordon,Arizona,2014,2,1,19,4,79.5,80.75,83.75,105,39,144,32.5,137.5,220,5.1,8.75,10.5,38,12.4,8,2,49.5,35.6,42.2,0,1,0,1,263
Marcus Smart,Oklahoma State,2014,52,1,20,6,74,75.25,81.25,99,36,135,33,132,227,10.6,9,8.75,64,16.6,5.9,4.5,41.3,29.5,75.1,1,0,0,1,261
Julius Randle,Kentucky,2014,7,1,20,7,79.75,81,84,105.5,35.5,141,29,134.5,250,9.4,8.75,8.25,40,15,10.4,1.4,50.1,16.7,70.6,0,1,0,1,238
Nik Stauskas,Michigan,2014,11,1,21,8,77.25,78.5,79.75,102,35.5,137.5,29,131,207,12.1,8.5,8.5,75,14.1,2.9,2.3,46.7,44.1,83.2,1,0,0,1,267
Noah Vonleh,Indiana,2014,97,1,23,9,80,81.5,88.25,108,37,145,31,139,247,7.3,9.75,11.75,30,11.3,9,0.6,52.3,48.5,71.6,0,1,0,1,231
Elfrid Payton,Louisiana-Lafayette,2014,54,1,20,10,74.5,75.75,80,98.5,35.5,134,31.5,130,185,5.7,8.75,9,100,14.3,5.1,4.9,48.5,26.8,61.1,1,0,0,1,300
Doug McDermott,Creighton,2014,17,1,23,11,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,7.1,8.75,9.75,145,21.7,7.5,1.3,55,45.8,83.1,0,1,0,1,264
T.J. Warren,North Carolina State,2014,55,1,21,14,79,80.25,82.25,104,35.5,139.5,27,131,220,8,8.75,9,70,18.5,5.7,1,55.5,31.5,65.4,0,1,0,1,218
Tyler Ennis,Syracuse,2014,20,1,21,18,73,74.5,79.25,98,36,134,29,127,182,6.2,8.25,8.75,34,12.9,3.4,5.5,41.1,35.3,76.5,1,0,0,1,186
Jordan Adams,UCLA,2014,15,0,20,22,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,10.8,8.5,7.5,69,16.4,4.6,2.1,46.7,33.1,83.9,1,0,0,1,32
Rodney Hood,Duke,2014,14,1,23,23,79.25,80.5,80.5,103,36,139,29,132,208,7.5,8.5,8.5,67,13.3,4.3,2.1,45.5,39.6,77.3,1,0,0,1,248
Shabazz Napier,Connecticut,2014,5,1,21,24,71,73,75.25,93,37.5,130.5,30.5,123.5,175,7.4,8.25,8.5,143,13.7,4,4.5,41.1,37.5,81.3,1,0,0,1,233
P.J. Hairston,North Carolina,2014,23,0,22,26,76.25,77.25,81,101,37,138,32,133,229,8.2,8.75,9.75,71,10,3.2,1,38.8,34.9,80,1,0,0,1,111
C.J. Wilcox,Washington,2014,102,0,24,28,75.5,77,81.75,100.5,37.5,138,31,131.5,201,6.5,8.75,9,131,14.4,3.4,1.6,43.3,38.9,84,1,0,0,1,66
K.J. McDaniels,Clemson,2014,65,0,21,32,76.5,78,83.25,102,37,139,33,135,196,4.5,8.75,9.75,94,11,4.8,0.9,45,31.3,76.7,1,0,0,1,148
Joe Harris,Virginia,2014,10,1,23,33,76.75,78.25,78,100,33.5,133.5,28.5,128.5,215,6.2,8.5,9.75,135,12.6,3.8,1.9,44.5,40.7,72.2,1,0,0,1,186
Cleanthony Early,Wichita State,2014,6,0,23,34,78,79.25,82.75,101.5,40,141.5,34,135.5,209,4.5,8.5,9,75,15.1,5.7,0.7,47,34.8,81.9,0,1,0,1,56
Jarnell Stokes,Tennessee,2014,37,0,21,35,79,80.5,85.25,103.5,36,139.5,31,134.5,263,8.2,9.75,10.5,87,13,9.6,1.5,53,0,62.8,0,1,0,1,28
Johnny O'Bryant,LSU,2014,68,0,21,36,79.25,80.5,86.25,105,35.5,140.5,31,136,257,10.8,9.25,9.5,91,12.7,7.7,1.3,46.7,22.2,61.9,0,1,0,1,147
Glenn Robinson,Michigan,2014,11,0,21,40,77.5,78.75,82,100.5,41.5,142,36.5,137,211,5.1,9,9.5,76,12,4.9,1.1,52.5,31.3,71.8,0,1,0,1,172
Nick Johnson,Arizona,2014,2,0,21,42,73.5,75,79.25,96.5,41.5,138,33.5,130,198,6.1,8.75,9.75,108,12.3,3.7,2.8,42.1,35.9,73.4,1,0,0,1,28
Markel Brown,Oklahoma State,2014,52,0,19,44,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,4.2,8.25,9.75,134,12.4,4.3,2.3,43.9,34.7,73.3,1,0,0,1,113
Dwight Powell,Stanford,2014,40,1,23,45,81.5,83,84.5,105,35,140,28.5,133.5,234,6.2,9,9.25,136,10.8,6.3,1.8,46.4,28.9,72.2,0,1,0,1,254
Jordan Clarkson,Missouri,2014,50,1,22,46,75.25,77,80,98,38.5,136.5,33,131,186,4.3,8.25,9,93,15.4,3.3,2.7,44,32.2,80.5,1,0,0,1,301
Russ Smith,Louisville,2014,16,0,21,47,71.5,72.75,75.5,95,34,129,29.5,124.5,160,3.5,8.25,8.5,133,14.3,2.7,2.8,41.3,34.5,76,1,0,0,1,27
Lamar Patterson,Pittsburgh,2014,39,0,24,48,76,77.25,83,101,32.5,133.5,27.5,128.5,226,10.8,9,9.25,149,9.5,3.9,2.9,43.5,36.9,72.3,1,0,0,1,40
Cameron Bairstow,New Mexico,2014,18,0,24,49,80.75,81.75,84.75,107,33.5,140.5,31,138,252,8.7,8.75,9,134,9.2,4.8,0.8,51.7,33.3,71.7,0,1,0,1,36
Semaj Christon,Xavier,2014,56,0,21,55,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,5.3,8.5,8.25,64,16.2,2.8,4.4,46.2,33.8,67,1,0,0,1,64
Devyn Marble,Iowa,2014,60,0,22,56,77,78.5,81,102,35,137,29,131,192,6.9,8.25,8.5,136,12.5,3.4,2.9,41.5,33.8,72.6,1,0,0,1,44
Jordan McRae,Tennessee,2014,37,0,24,58,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,5.2,8.75,8.5,114,13.3,3.3,1.8,41.7,34.3,76.9,1,0,0,1,59
Cory Jefferson,Baylor,2014,28,0,24,60,79.75,81,84.5,105,37.5,142.5,33,138,218,5.3,8.75,9.75,130,8.9,5.6,0.4,54.3,34,66,0,1,0,1,58
Alex Kirk,New Mexico,2014,18,0,23,61,81.25,82.75,87.5,109.5,31.5,141,28.5,138,252,13.6,9.25,10.5,101,10,6.8,0.6,48.8,25.2,68.4,0,0,1,0,5
Jabari Brown,Missouri,2014,50,0,22,61,75,76.25,80.25,100,32,132,28,128,202,6.1,9,9.25,62,17,3.9,1.7,44.1,38.6,78.2,1,0,0,0,19
