Player,College,Draft_yr,fnl_coll_rpi,Success,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,clg_gms_plyed,pts_ppg,trb,ast,fg2_pct,fg3_pct,ft_pct,Guards,Forwards,Centers,Drafted,nba_gms_plyed
Hassan Whiteside,Marshall,2010,74,1,21,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,34,13.1,8.9,0.3,52.4,60,58.8,0,0,1,1,271
Armon Johnson,Nevada,2010,62,0,21,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,101,14.3,3.7,4.4,46.7,28.9,75,1,0,0,1,47
Darington Hobson,New Mexico,2010,14,0,24,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,35,15.9,9.3,4.6,44,36.1,65.3,1,0,0,1,5
Andy Rautins,Syracuse,2010,6,0,24,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,127,8.8,2.6,2.7,39.6,37.4,76.3,1,0,0,1,5
Lance Stephenson,Cincinnati,2010,68,1,20,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,34,12.3,5.4,2.5,44,21.9,66.4,1,0,0,1,440
Jarvis Varnado,Mississippi State,2010,61,0,24,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,141,10,7.8,0.6,58.9,25,59.5,0,1,0,1,37
Devin Ebanks,West Virginia,2010,4,0,21,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,69,11.2,7.9,2.6,46.3,11.4,73.6,1,0,0,1,63
Solomon Alabi,Florida State,2010,44,0,22,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,77,9.1,5.4,0.4,53.4,0,74.5,0,0,1,1,26
Willie Warren,Oklahoma,2010,128,0,19,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,57,15.2,2.6,3.5,45.9,35,78.8,1,0,0,1,19
Derrick Caracter,UTEP,2010,42,0,22,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,79,10.3,5.6,0.6,56.3,31.3,62.8,0,0,1,1,41
Sherron Collins,Kansas,2010,1,0,22,61,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,143,13.2,2.4,3.9,44.4,37.7,80.8,1,0,0,0,20
Derrick Williams,Arizona,2011,13,1,20,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,69,17.8,7.7,0.9,58.6,51.1,71.9,0,1,0,1,428
Tristan Thompson,Texas,2011,11,1,20,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,36,13.1,7.8,1.3,54.6,0,48.7,0,1,0,1,519
Brandon Knight,Kentucky,2011,5,1,20,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,38,17.3,4,4.2,42.3,37.7,79.5,1,0,0,1,382
